itemfield0,itemfield1,itemfield2,itemfield3,itemfield4,itemfield5,itemfield6,itemfield7,itemfield8,itemfield9,itemfield10,itemfield11,itemfield12,itemfield13,itemfield14,itemfield15,itemfield16,itemfield17,itemfield18,itemfield19,itemfield20,itemfield21,itemfield22,itemfield23,itemfield24,itemfield25,itemfield26,itemfield27,itemfield28,itemfield29,itemfield30,itemfield31,itemfield32,itemfield33,itemfield34,itemfield35,itemfield36
F00573,"Liberal catholicism, reform catholicism, modernism","LOOME, Thomas Michael",Matthias-Grunewald-Verlag,NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 128 .L6 ; BQX 1071 .L6",3-7867-0660-3,Mainz,"vii, 452p. ; 23cm.","a contribution to a new orientation in modernist research",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00574,"Caro Cardo Salutis","METZ, Johannes Baptist",Queriniana,NULL,NULL,1968,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 618 .M4",NULL,Brescia,"33p. ; 21cm.","la conzenione cristiana del corpo ; meditazioni teologiche",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00575,"Teologie della prassi","MONDIN, Battista",Queriniana,NULL,NULL,1973,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 3416 .M6",NULL,Brescia,"104p. ; 21cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00576,"I Sacerdoti nella spirito del Vaticano II","FAVALE, A.","Elle Di Ci",NULL,NULL,1968,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes indexes",NULL,NULL,"BQT 355 .S3 ; BQV 12 .1962 .PO .S3",NULL,Torino,"1126p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00577,"Logical investigations","FREGE, Gottlob","Basil Blackwell",NULL,NULL,1977,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography",NULL,NULL,"B 3245 .F23 L6","0-631-17190-8 OK 13-Nov-1996 RESP edited with a preface by P.T. Geach ; translated by P.T. Geach and R.H. Stoothoof",Oxford,"ix, 82p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00578,"Un Vangelo per le citta'","TONNA, Benjamin",EMI,NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography",NULL,NULL,"BQT 3352 .T6",NULL,Bologna,"327(4)p. ; 20cm.","il passaggio dalla missione rurale alla missione urbana nel Terzo Mondo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00579,"Jesus the Jew","VERMES, Geza",Fontana,NULL,NULL,1976,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes and indexes",NULL,NULL,"BQT 683 .V4 ; BM 620 .V4",NULL,London,"286p. ; 20cm.","a historian's reading of the Gospels",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00580,"Le Comunita' di base opera dello spirito","RAMALHO, Jether Periera ...et al.",E.M.I.,NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 3325 .C6",NULL,Bologna,"183p. ; 19cm.","secondo incontro delle comunita' ecclesiali di base del Brasile",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00581,"What is theology?","WILES, Maurice","Oxford University Press, Inc.",NULL,NULL,1976,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index",NULL,NULL,"BQT 11 .W5",0-19-289066-2,London,"viii, 117p. ; 20cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00582,"Law, morality, and religion in a secular society","MITCHELL, Basil","Oxford University Press, Inc.",NULL,NULL,1967,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography and index",NULL,NULL,"BL 65 .L33 M5",0-19-293010-4,Oxford,"vi(iv), 141p. ; 20cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00583,"The idea of the holy","OTTO, Rudolf","Oxford University Press, Inc.",NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes appendixes and index",NULL,NULL,"BL 51 .O8",NULL,London,"xix, 232p. ; 20cm.","an inquiry into the non-rational factor inthe idea of the divine and its  relation to the rational",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00584,"Understanding Eastern Christianity","EVERY, George","SCM Press",NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography, notes andindex",NULL,NULL,"BQX 5411 .E98",334-01730-0,London,"xviii, 137p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00585,"The other side of silence","KELSEY, Morton T.","Paulist Press",NULL,NULL,1976,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes",NULL,NULL,"BQT 2259 .K4",0-8091-1956-0,"New York","314p. ; 22cm.","a guide to Christian meditation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00586,"Jesus - God and Man","PANNENBERG, Wolfhart","SCM Press",NULL,NULL,1980,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Translated from the German: Grundzuge der Christologie, Gutersloh, 1964 ; Includes index",NULL,NULL,"BQT 708 .P3",334-00773-9,London,"427p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00587,"Religion and the persistence of capitalism","PRESTON, Ronald H.","SCM Press",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography, notes and index",NULL,NULL,"BQT 3437 .C3 P73",334-02309-2,London,"ix, 182p. ; 23cm.","the Maurice Lectures for 1977 and other studies in Christianity and Social  Change",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00588,"Incarnation and Myth",NULL,"SCM Press",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes indexes",NULL,NULL,"BQT 731 .I37 ; BQT 694 .I37",334-00660-0,London,"xi, 257p. ; 22cm.","the debate continued",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00589,"The Pastoral nature of the ministry","WRIGHT, Frank","SCM Press",NULL,NULL,1980,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes",NULL,NULL,"BQT 2920 .W7",334-01212-0,London,"89p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00590,"Man of hope","BLAKE, Amy E.","A.E. Blake",NULL,NULL,NULL,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQ 7477 .E5",NULL,Bath,"32p. ; 21cm.","glimpses into the mind of Teilhard de Chardin",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00591,"THE HUMAN search with Teilhard de Chardin","APPLETON, George",Collins,NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography",NULL,NULL,"BQ 7477 .E5 H8",NULL,Glasgow,"159p. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00592,"L'attivita' assistenziale della chiesa nell'ordinamento italiano","DALLA TORRE, Giuseppe",Giuffre',NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes indexes",NULL,NULL,"BQT 3412 .I8 D3",NULL,Milano,"viii, 271p. ; 25cm.","aspetti dogmatici e spunti ricostruttivi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00593,"Karl Marx","TODISCO, Orlando","Edizione Paoline",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliographical references and index",NULL,NULL,"HX 542 .T56",NULL,Roma,"392p. ; 21cm.","analisi critica della metodologia sociale",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00594,"Rinnovamento nello spirito e servizio dell'uomo","SUENENS, Leon Joseph ; CAMARA, Dom Helder","Edizioni Paoline",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1219 .S8",NULL,Roma,"141p. ; 19cm.","Documento di Malines, 3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00595,"The Eucharist","LUSSIER, Ernest","Alba House",NULL,NULL,1977,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 2589 .L85",NULL,"New York","247p. ; 21cm.","the Bread of Life",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00596,"CHRISTIANITY AND OTHER RELIGIONS",NULL,Collins,NULL,NULL,1980,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index and bibliography",NULL,NULL,"BR 127 .C45",NULL,Glasgow,"253p. ; 18cm.","SELECTED READINGS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00597,"il prete","DIANICH, Severino","Edizioni Paoline",NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index",NULL,NULL,"BQT 1419 .D5",NULL,Roma,"279p. ; 22cm.","a che serve? ; Saggio di teologia del ministero ordinato",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00598,"Problemi che scottano","PERICO, Giacomi",Ancora,NULL,NULL,1977,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index",NULL,NULL,"BQT 1722 .P4",NULL,Milano,"438p. ; 21cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00599,"Le Comunita' di base reinventano la Chiesa","BOFF, Leonard",E.M.I.,NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 3325 .B6",NULL,Bologna,"125p. ; 19cm.","secondo incontro della comunita' ecclesiali del Brasile",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00600,"PUBLIC ANDPRIVATE MORALITY",NULL,"University Press",NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Contents: Hampshire, S. Morality and pessimism. - Hampshire, S. Public and  private morality. - Williams, B. Politics andmoral character. - Nagel, T.  Ruthlessness in public life. - Scanlon, T.M. Rights, goals and fairness. -  Dworkin, R. Liberalism.",NULL,NULL,"JA 79 .P8",0-521-22084-X,Cambridge,"x, 143p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00601,"The humanity and divinity of Christ","KNOX, John","University Press",NULL,NULL,1967,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index",NULL,NULL,"BQT 712 .K59",NULL,Cambridge,"x, 17p. ; 19cm.","a study of pattern in Christology",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00602,"The Theology of secularity","O'COLLINS, Gerald",Fides,NULL,NULL,1974,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes select bibliography and index",NULL,NULL,"BQT 3499 .O28",0-8190-0550-9,"Notre Dame, Indiana","94p. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00603,Mary,"RUETHER, Rosemary Radford","SCM Press",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1009 .R8",334-00970-0,London,"74p. ; 21cm.","the feminine face of the Church",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00604,"The Christology of the New Testament","CULLMANN, Oscar","SCM Press",NULL,NULL,1967,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Translated from the German: Die Christologie des Neuen Testaments, Tubingen  1957. ; Includes index",NULL,NULL,"BQT 691 .C813",334-00219-2,London,"xvii, 346p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00605,"The Episcopate and the primacy","RAHNER, Karl ; RATZINGER, Joseph","Burns, Oates & Washbourne",NULL,NULL,1966,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 348 .R3 ; BQT 365 .R3",NULL,London,"135p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00606,"Il vecchio e la vita","BORRA, Edoardo","Edizioni Paoline",NULL,NULL,1975,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 3669 .B6",NULL,Roma,"300p. ; 24cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00607,"Presenza cristiana nuova delgi anziani nella comunita'","BARACCO, Lino",Morcelliana,NULL,NULL,1977,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 3669 .B3",NULL,Brescia,"170p. ; 23cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00608,Ethics,"HILDEBRAND, Dietrich Von","Franciscan Herald Press",NULL,NULL,1953,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index",NULL,NULL,"BJ 1249 .V6",NULL,Chicago,"x, 470p. ; 23cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00609,"Graven images","HILDEBRAND, Dietrich ; JOURDAIN, Alice","Franciscan Herald Press",NULL,NULL,1976,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Reprint of the 1957 edition published by McKay, New York",NULL,NULL,"BJ 37 .H5",0-8199-0597-6,Chicago,"204p. ; 20cm.","substitutes for true morality",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00610,"Mystery and imagination","HANSON, R.P.C.",SPCK,NULL,NULL,1976,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 234 .H3",0-281-02934-2,London,"xii, 113p. ; 20cm.","reflections on Christianity",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00611,"The Seal of the Spirit","LAMPE, G.W.H.",S.P.C.K.,NULL,NULL,1967,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography and indexes",NULL,NULL,"BQT 1283 .L3 ; BQT 1250 .L3",NULL,London,"xxvii, 344p. ; 23cm.","a study in the doctrine of Baptism and Confirmation in the New Testament  and the Fathers",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00612,"Holy Spirit","RAMSEY, Michael",SPCK,NULL,NULL,1977,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes and appendix",NULL,NULL,"BQT 588 .R3",0-281-03586-5,London,"140p. ; 18cm.","a biblical study",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00613,"Sacrifice and the death of Christ","YOUNG, Frances M.",SPCK,NULL,NULL,1975,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography and index",NULL,NULL,"BQT 1117 .Y6",281-02845-1,London,"x, 149(1)p. ; 20cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00614,Christ,"SCHILLEBBECKX, Edward","SCM Press",NULL,NULL,1980,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index and notes ; Original Dutch Title: Gerechtigheid en liefde:Genade en bevrijding,  Bloemendaal, Holland 1977",NULL,NULL,"BQT 1117 .S3",334-00173-0,London,"925p. ; 23cm.","the Christian experience in the modern world",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00616,"Doing evil to achieve God",NULL,"Loyola University Press",NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes endnotes for each chapter",NULL,NULL,"BQT 1771 .D64",0-8294-0285-3,Chicago,"267p. ; 24cm.","moral choice in conflict situations",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00617,"(Works) The Heart of Rahner","RAHNER, KArl","Burns, Oates & Washbourne",NULL,NULL,1980,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 2421 .R3",0-86012-099-6,London,"117p. ; 21cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00618,"The Christian tradition","PELIKAN, Jaroslav","University of Chicago Press",NULL,NULL,1971,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliographies ; Contents: v.1. The Emergence of the Catholic tradition (100-600); v.2. The  Spirit of Eastern Christendom (600-1700); v.3. The Growth of Medieval Theology  (600-1300)",NULL,NULL,"BQT 31 .P42",NULL,Chicago,"v. ; 24cm.","a history of the development of doctrine",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00619,"Love is acceptance","VELLA, Arthur G.","Pontificia Universitas Gregoriana",NULL,NULL,1964,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1203 .V4",NULL,Rome,"xxii, 200p. ; 25cm.","a psychological and theological investigation of the mind of St. Thomas  Aquinas",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00620,"Love is acceptance","VELLA, Arthur G.","Pontificia Universitas Gregoriana",NULL,NULL,1964,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1203 .V4",NULL,Rome,"xxii, 200p. ; 25cm.","a psychological and theological investigation of the mind of St. Thomas  Aquinas",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00621,"La comunita' cristiana e la nuova astorale degli anziani","BARACCO, Lino","Edizioni Paoline",NULL,NULL,1975,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 3669 .B3",NULL,Roma,"124p. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00623,"Vita Religiosa e Misteri",NULL,Dehoniane,NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes appendix",NULL,NULL,"BQT 2304 .V5",NULL,Bologna,"131(3)p. ; 21cm.","atti del Convegno dei Religiosi e delle religiose di Lombardia, Milano, 22  Giugno 1978 CORP Comitato Lombardo ; U.S.M.I. - Delegazione Lombarda",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00624,"On prayer","RAHNER, Karl","Paulist Press",NULL,NULL,1958,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 2245 .R3",NULL,"New York","109p. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00625,"CROSO DI DIRITTO CANONICO   ",NULL,"Editrice Queriniana",NULL,NULL,1976,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"First published in spanish under title: Derecho Canonico, Pamplona 1974",NULL,NULL,"BQV 214 .C6",NULL,Brescia,"2v. ; 24cm.","edizione italiana in due volumi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00626,"Face a la morte, Jesus et Paul","LEON-DUFOUR, Xavier","Editions du Seuil",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index and Bibliography",NULL,NULL,"BQT 1459 .L4",2-02-005312-2,Paris,"317p. ; 21cm - (Parole de Dieu)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00627,"Byzantine theology","MEYENDORFF, John",Mowbrays,NULL,NULL,1974,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index and bibliography",NULL,NULL,"BQT 191 .M4",0264-66306-3,London,"243p. ; 22cm.","historical trends and doctrinal themes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00628,"LITURGIA E RELIGIOSITA' POPOLARE:","BROVELLI, F....et al.",EDB,NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 4047 .L5",NULL,Bologna,"332p. ; 19cm.","PROPOSTE DI ANALISI E ORIENTAMENTI ; ATTI DELLA VII SETTIMANA DI STUDIO DELL'ASSOCIAZIONE PREOFESSORI DI LITURGIA,  SEIANO DI VICO EQUENSE (NAPOLI) ; 4-8 SETTEMBRE 1978",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00629,"The Holy Spirit","MOULE, C.F.D.",Mowbray,NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes and index",NULL,NULL,"BQT 587 .M6",0-264-66253-9,London,"120p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00630,"Paolo VI","AGASSO, Domenico","Pia Societa' San Paolo",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQX 1135 .A33",NULL,Milano,"228p. ; (32) leaves of plates, (4) ; 24cm.","le chiavi pesanti",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00631,Jesus,"SCHILLEBEECKX, Edward",Collins,NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Original Dutch title: Jezus, het verhaal van een levende, Bloemendaal 1974",NULL,NULL,"BQT 683 .S3 ; BQT 1117 .S3",0-00-215377-7,London,"767p. ; 23cm.","an experiment in Christology",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00632,"I Diritti umani","VERGNANO, Igino",Paravia,NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes indexes",NULL,NULL,"BQT 3417 .V4 ; JC 571 .V4",NULL,Torino,"viii, 311p. ; 23cm.","il manifesto della civilta' negli strumenti internazionali e la societa'  comtemporanea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00633,"The Birth of the Messiah : a commentary on the infancy narratives in Matthew  and Luke","BROWN, Raymond E.","Image Books",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliographies, appendixes and indexes",NULL,NULL,"BQT 831 .B7 ; BS 2595 .3. B7 ; BS 2575 .3 .B7",0-385-05405-X,"New York","594p. ; 23cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00634,"La pregheira","NOBILE, Marco...et al.","Edizioni L.I.E.F.",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 2245 .P7",NULL,Vicenza,"190p. ; 21cm.","corso di spiritualita'",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00635,"After death","PITTENGER, Norman","SCM Press",NULL,NULL,1980,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1508 .P5",334-00030-0,London,"xiii, 80p. ; 20cm.","life in God",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00636,"The future of creation","MOLTMANN, Jurgen","SCM Press",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes and index ; Translated by Margaret Kohl from the German 'Zukunft der Schopfung:  Gesammelte Aufsatze'.",NULL,NULL,"BQT 629 .M613",334-00514-0,London,"198p. ; 23cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00637,"Scienza e fede nel 21o secolo",NULL,Queriniana,NULL,NULL,1969,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Contents: Infrangere il codice genetico/  V. Dethier;  Esperimentouomo/ K.  Rahner; Riflessioni sull'ingegneria biologica/ G. Schurr; Controllo delle  nascite/ R. Tobias; Vita in una provetta/ P. Gastonguay; Teilhard de Chardin/  B. Towers; Cibernetica e conoscenza di Dio/ S. Beer; Scienza e peccato/ M.  McLaren",NULL,NULL,"BQT 237 .S3",NULL,Brescia,"110p. ; 24cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00638,"Praying for inner healing","FARICY, Robert","SCM Press",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1219 .F3",334-01288-0,London,"vii, 86p. ; 20cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
